date,name,episode_role,gender,age_bracket,affiliation_type,affiliation_specific,us_region,lookup_note
2026-05-08,Sandeep Jauhar,cardiologist,M,50+,Medical,Long Island Jewish Medical Center (Northwell),East Coast,Wikipedia + Northwell page
2026-05-08,Jeannie Suk Gersen,law professor,F,50+,University,Harvard Law School,East Coast,Wikipedia + HLS faculty page
2026-05-08,Hui-wen Sato,pediatric nurse,F,unknown,Medical,Children's Hospital Los Angeles,West Coast,"End Well, AJN bios"
2026-05-01,Eric Topol,Physician,M,50+,Medical,Scripps Research / Scripps Clinic,West Coast,Wikipedia
2026-04-24,CM Ralph,game designer,NB,50+,Author-independent,self-employed artist / hobbyist game designer,unknown,"Paste Magazine interview, NPR, Wikipedia"
2026-04-24,Brewster Kayle,digital librarian,M,50+,NGO,Internet Archive (founder),West Coast,Wikipedia (Brewster Kahle)
2026-04-24,Dina Zielinksi,molecular biologist,F,20-49,University,"Inserm / Sorbonne (Paris), formerly NY Genome Center",International,personal site + NPR
2026-04-24,Chris Fisher,archeologist,M,50+,University,Colorado State University,Mountain West,CSU faculty page + Wikipedia
2026-04-10,Sarah Lake,food systems expert,F,20-49,NGO,Tilt Collective (CEO),unknown,WRI profile + Tilt Collective bio
2026-04-10,Deb Chachra,infrastructure engineer,F,50+,University,Olin College of Engineering,East Coast,Olin bio + Wikipedia
2026-04-10,Michele Gelfand,cross-cultural psychologist,F,50+,University,Stanford GSB,West Coast,Wikipedia + Stanford GSB page
2026-04-10,Jeff Speck,urban planner,M,50+,Industry,Speck Dempsey (planning consultancy),East Coast,Wikipedia
2026-04-10,Ignacio Delgadillo,Tempe resident,M,unknown,Other,private citizen (Tempe AZ resident),Mountain West,NPR transcript / Spokeo
2026-04-03,Tom Gruber,Siri co-creator,M,50+,Author-independent,self-employed / advisor (retired Apple),West Coast,Wikipedia + tomgruber.org
2026-03-27,Ethan Kross,neuroscientist,M,20-49,University,University of Michigan,Midwest,Michigan Ross + Wikipedia
2026-03-20,Alex Rosenthal,the editorial director of TED-Ed animations,M,20-49,Industry,TED-Ed (TED Conferences),East Coast,TED speaker page + LinkedIn
2026-03-20,John Wixted,psychologist,M,50+,University,UC San Diego,West Coast,UCSD faculty page
2026-03-20,Francesca Hogi,love coach,F,50+,Author-independent,self-employed coach (True Love Society),West Coast,personal site + Voyage LA
2026-03-13,Philip Johns,evolutionary biologist,M,50+,University,Yale-NUS College (closed 2025) / NUS,International,Yale-NUS faculty page
2026-03-13,Avi Loeb,astrophysicist,M,50+,University,Harvard University,East Coast,Wikipedia
2026-03-13,Laurel Braitman,author,F,20-49,University,Stanford School of Medicine (Director of Writing & Storytelling),West Coast,personal site + Simon & Schuster
2026-03-06,Alex Carter,law professor,F,20-49,University,Columbia Law School,East Coast,Columbia Law + Wikipedia
2026-03-06,Magdalena Hoeller,linguist,F,20-49,Industry,Kaplan (teaching director),International,TED + NPR transcripts
2026-02-27,Anna Malaika Tubbs,author,F,20-49,Author-independent,self-employed author,unknown,personal site + NPR
2026-02-20,Jonathan Haidt,social psychologist,M,50+,University,NYU Stern School of Business,East Coast,Wikipedia
2026-02-20,Maximilian Milovidov,youth online safety activist,M,20-49,NGO,5Rights Foundation / TikTok Youth Council,East Coast,LinkedIn + RD4C
2026-02-20,Catherine Price,author,F,20-49,Author-independent,self-employed author / Screen/Life Balance founder,East Coast,publisher page + personal site
2026-02-13,David Suh,portrait photographer,M,20-49,Author-independent,self-employed photographer / content creator,West Coast,UC Davis Magazine
2026-02-13,Dolly Chugh,social psychologist,F,50+,University,NYU Stern School of Business,East Coast,NYU Stern bio
2026-02-13,Elise Hu,journalist,F,20-49,Journalist,NPR host-at-large / TED Talks Daily,West Coast,Wikipedia
2026-02-13,Anil Ananthaswamy,science writer,M,50+,Journalist,"freelance science journalist (Quanta, SciAm, etc.)",West Coast,Wikipedia
2026-02-06,Aqeela Sherrills,peace activists,M,50+,NGO,Community Based Public Safety Collective,West Coast,Awakin + CSUN press
2026-02-06,Abu Sarah,Aziz,M,20-49,Industry,MEJDI Tours co-founder,International,Wikipedia (Aziz Abu Sarah)
2026-01-30,Pau Aleikum Garcia,technologist,M,20-49,Industry,Domestic Data Streamers (founder),International,MWC Barcelona + studio site
2026-01-30,Amy Kurzweil,cartoonist,F,20-49,Author-independent,self-employed cartoonist (New Yorker),East Coast,Wikipedia
2026-01-30,Chance Coughenour,digital archaeologist,M,20-49,Industry,Google Arts & Culture (head of preservation),International,Google Scholar + LinkedIn
2026-01-23,Matt Pitcher,financial advisor,M,50+,Industry,Altor Wealth (founder),International,Altor Wealth + NPR
2026-01-23,Anindya Kundu,sociologist,M,20-49,University,Florida International University,South,FIU directory + TED bio
2026-01-23,Jennifer Wallace,journalist,F,50+,Journalist,"freelance journalist (Washington Post, WSJ contributor)",East Coast,personal site + Penguin Random House
2026-01-23,Bill Burnett,design thinking professor,M,50+,University,Stanford University (Design Program),West Coast,Stanford Online bio
2026-01-16,Greg Gage,neuroscientist,M,20-49,Industry,Backyard Brains (co-founder/CEO),Midwest,LinkedIn + Backyard Brains site
2026-01-16,Frances Chance,computational neuroscientist,F,50+,Government,Sandia National Laboratories,Mountain West,Sandia LabNews + TED
2026-01-16,Keely Muscatell,social psychoneuroimmunologist,F,20-49,University,UNC Chapel Hill,South,UNC Lineberger + CV
2026-01-16,Karen Bakker,environmental researcher,F,50+,University,University of British Columbia (deceased 2023),International,Wikipedia + UBC memorial
2026-01-09,Robert Green,researcher,M,50+,Medical,Brigham and Women's Hospital / Harvard Medical School,East Coast,Wikipedia
2026-01-02,Matt Wilson,former medical clown,M,20-49,Industry,Bank of America (global tech analyst); formerly TED Resident / medical clown,East Coast,TED speaker page + NYU Tisch alumni profile
2026-01-02,Jamil Zaki,psychologist,M,20-49,University,Stanford (Professor of Psychology),West Coast,Stanford psychology faculty page
2026-01-02,Yifat Susskind,human rights activist,F,50+,NGO,MADRE (Executive Director),East Coast,MADRE bio PDF + Lilith magazine
2025-12-26,Rhaina Cohen,journalist,F,20-49,Journalist,NPR Embedded producer/editor; author,East Coast,NPR people page
2025-12-26,Stephanie Yates-Anyabwile,family therapist,F,20-49,Medical,"LMFT private practice / CHRIS180, Decatur GA",South,LinkedIn + Healthgrades
2025-12-26,Bella DePaulo,social psychologist,F,50+,University,"UC Santa Barbara (academic affiliate, Psychological and Brain Sciences)",West Coast,BellaDePaulo.com about page
